comparator,task,budget,seed,metric,full,comparator_value,delta,delta_pct
full_old,tri_tsp,25,2029,aubc,151913.61187140917,143056.09789810536,8857.513973303809,6.191636779868515
full_old,tri_tsp,25,2025,hv_final,206213.5857873793,207185.75279525536,-972.1670078760653,-0.4692248355690598
full_old,tri_tsp,25,2026,hv_final,207110.5554649336,207147.26911107718,-36.71364614358754,-0.017723451678186564
full_old,tri_tsp,25,2027,hv_final,207479.51920738546,207008.0534294236,471.4657779618574,0.22775238458179192
full_old,tri_tsp,25,2028,hv_final,207863.60889236676,206204.604467468,1659.0044248987688,0.8045428612921679
full_old,tri_tsp,25,2029,hv_final,205288.66469109347,204365.85414015054,922.8105509429297,0.4515483052810243
full_old,tri_tsp,50,2025,aubc,158972.99212707314,184256.66479121306,-25283.672664139915,-13.721985412462356
full_old,tri_tsp,50,2026,aubc,147290.9463269837,164505.39888743593,-17214.45256045222,-10.464369362267156
full_old,tri_tsp,50,2027,aubc,164612.5514833141,150711.01069225543,13901.54079105868,9.223971577926026
full_old,tri_tsp,50,2028,aubc,155685.0948226461,151573.30416811164,4111.790654534445,2.7127406617553307
full_old,tri_tsp,50,2029,aubc,178223.03044801342,147183.7394342237,31039.291013789712,21.08880446515706
full_old,tri_tsp,50,2025,hv_final,206458.43133386123,207029.9604395652,-571.5291057039867,-0.27606106115777296
full_old,tri_tsp,50,2026,hv_final,207452.03708025874,208234.68213599484,-782.645055736095,-0.3758476002690858
full_old,tri_tsp,50,2027,hv_final,208394.09539483703,206453.4393044595,1940.656090377539,0.9399969779702477
full_old,tri_tsp,50,2028,hv_final,208159.94563120895,207634.66324398856,525.282387220388,0.25298395702029186
full_old,tri_tsp,50,2029,hv_final,207236.0819162947,207301.04145665313,-64.95954035842442,-0.031335848533109445
full_old,tri_tsp,100,2025,aubc,166479.00382380327,190330.4460343633,-23851.442210560024,-12.531595815339891
full_old,tri_tsp,100,2026,aubc,178803.26376682252,180024.20747181948,-1220.9437049969565,-0.6782108484982952
full_old,tri_tsp,100,2027,aubc,178851.2959458734,191031.04118144469,-12179.745235571289,-6.375793776888205
full_old,tri_tsp,100,2028,aubc,184921.41211274077,175384.14469966423,9537.267413076537,5.437930224199339
full_old,tri_tsp,100,2029,aubc,189869.62446882567,186362.56002084582,3507.0644479798502,1.8818503285142452
full_old,tri_tsp,100,2025,hv_final,208098.75477975412,206880.91960256876,1217.8351771853631,0.588664812359152
full_old,tri_tsp,100,2026,hv_final,207919.04646288863,205741.95139636513,2177.0950665234996,1.0581677930765254
full_old,tri_tsp,100,2027,hv_final,207966.62319287602,207642.4360667877,324.1871260883345,0.1561275875149537
full_old,tri_tsp,100,2028,hv_final,206983.84350450954,207555.200828005,-571.3573234954674,-0.27527969485521275
full_old,tri_tsp,100,2029,hv_final,208670.78134267608,207069.51113427317,1601.2702084029152,0.773300810743005
full_old,tri_tsp,200,2025,aubc,184462.18781133674,195367.08037540573,-10904.892564068985,-5.581745165620944
full_old,tri_tsp,200,2026,aubc,189091.12585590928,197684.51194632772,-8593.38609041844,-4.347020414402314
full_old,tri_tsp,200,2027,aubc,184617.01542857313,192191.30458467457,-7574.28915610144,-3.9410155274555603
full_old,tri_tsp,200,2028,aubc,188780.6055979618,193669.6660473449,-4889.060449383076,-2.5244327359907226
full_old,tri_tsp,200,2029,aubc,195209.79855488252,196713.79597432548,-1503.9974194429524,-0.764561230692351
full_old,tri_tsp,200,2025,hv_final,207327.5086725669,207286.02692350736,41.48174905954511,0.020011840486899857
full_old,tri_tsp,200,2026,hv_final,207727.4552454591,206999.48894903425,727.9662964248564,0.3516754075678419
full_old,tri_tsp,200,2027,hv_final,207066.5399438513,206657.31675771464,409.22318613665993,0.19802017782726278
full_old,tri_tsp,200,2028,hv_final,208282.42637503313,207133.3326709571,1149.0937040760182,0.5547603996221229
full_old,tri_tsp,200,2029,hv_final,207771.11814639016,208162.74706277827,-391.6289163881156,-0.1881359282167816
full_old,bi_cvrp,25,2025,aubc,19286.782762465995,11657.292376218604,7629.490386247391,65.44822022146319
full_old,bi_cvrp,25,2026,aubc,13826.509200725273,12494.065548810886,1332.4436519143874,10.66461230500908
full_old,bi_cvrp,25,2027,aubc,11458.66656405157,11837.482081248581,-378.815517197012,-3.2001359292199716
full_old,bi_cvrp,25,2028,aubc,13683.390241365241,9991.190054389546,3692.200186975695,36.95455863492014
full_old,bi_cvrp,25,2029,aubc,8741.613521885716,12419.116286363536,-3677.50276447782,-29.61163000394641
full_old,bi_cvrp,25,2025,hv_final,22960.455669602372,14216.210214900735,8744.245454701637,61.50897688285693
full_old,bi_cvrp,25,2026,hv_final,19203.7129532173,18373.625807074834,830.0871461424649,4.5178189370920885
full_old,bi_cvrp,25,2027,hv_final,19097.777606752614,13764.514047963467,5333.263558789147,38.7464718347847
full_old,bi_cvrp,25,2028,hv_final,18491.067893736814,17226.189748947494,1264.8781447893198,7.342762173315798
