ablation,task,budget,seed,total_budget,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_budget,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate,run_dir
full,bi_tsp,200,2025,200.0,44,44,0,0.0,0.22,183,17,139,0.7595628415300546,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2025/20260524_013317_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2026,200.0,32,32,0,0.0,0.16,183,17,151,0.825136612021858,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2026/20260524_015856_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2027,200.0,36,36,0,0.0,0.18,183,17,147,0.8032786885245902,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2027/20260524_022430_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2028,200.0,28,28,0,0.0,0.14,184,16,156,0.8478260869565217,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2028/20260524_025018_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2029,200.0,46,46,0,0.0,0.23,183,17,137,0.7486338797814208,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2029/20260524_183254_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2025,25.0,7,7,0,0.0,0.28,21,4,14,0.6666666666666666,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2025/20260523_231931_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2026,25.0,8,8,0,0.0,0.32,21,4,13,0.6190476190476191,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2026/20260523_232300_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2027,25.0,4,4,0,0.0,0.16,21,4,17,0.8095238095238095,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2027/20260523_232643_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2028,25.0,9,9,0,0.0,0.36,21,4,12,0.5714285714285714,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2028/20260523_232947_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2029,25.0,7,7,0,0.0,0.28,21,4,14,0.6666666666666666,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2029/20260523_233310_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2025,50.0,13,13,0,0.0,0.26,44,6,31,0.7045454545454546,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2025/20260523_233626_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2026,50.0,13,13,0,0.0,0.26,44,6,31,0.7045454545454546,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2026/20260523_234359_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2027,50.0,13,13,0,0.0,0.26,44,6,31,0.7045454545454546,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2027/20260523_235043_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2028,50.0,15,15,0,0.0,0.3,44,6,29,0.6590909090909091,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2028/20260523_235714_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2029,50.0,9,9,0,0.0,0.18,44,6,35,0.7954545454545454,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2029/20260524_000646_BITSPEvaluation_BMAB-full
full,tri_tsp,100,2025,100.0,15,15,0,0.0,0.15,92,8,77,0.8369565217391305,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2025/20260524_062100_TRITSPEvaluation_BMAB-full
full,tri_tsp,100,2026,100.0,14,14,0,0.0,0.14,93,7,79,0.8494623655913979,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/tri_tsp/B100/seed2026/20260524_065448_TRITSPEvaluation_BMAB-full
